City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Sulangan,PH,79.63,overcast clouds,11.1373,123.7228,Maia's Beach Resort
494,Bonthe,SL,77.76,clear sky,7.5264,-12.505,Bonthe Holiday Village
503,Kruisfontein,ZA,61.14,few clouds,-34.0033,24.7314,Oyster Bay House Rental
504,Cockburn Town,TC,77.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
506,Urucui,BR,76.82,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
507,Coquimbo,CL,67.73,broken clouds,-29.9533,-71.3436,Hostel Del Puerto
508,Salinopolis,BR,78.49,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
509,Payson,US,49.96,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
510,Domoni,KM,79.12,overcast clouds,-12.2569,44.5319,Al Djadid
512,Santo Antonio Do Ica,BR,74.95,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
514,Miramar,US,74.01,clear sky,25.9873,-80.2323,Casa Miramar
516,Dong Hoi,VN,70.3,overcast clouds,17.4833,106.6,Nam Long Hotel
517,Caborca,MX,76.53,clear sky,30.5838,-111.101,Hotel Los Lagos
518,Nkhotakota,MW,72.55,light rain,-12.9274,34.2961,Sitima Inn
519,Kabarnet,KE,58.1,broken clouds,0.4919,35.743,Valley-Inn Hotel
521,Bereda,ES,49.57,overcast clouds,43.2686,-7.5406,Pazo de Verdes
525,Marsa Matruh,EG,55.51,broken clouds,31.3525,27.2453,Beau Site
526,Acarau,BR,79.21,broken clouds,-2.8856,-40.12,castelo pizzaria
527,Cooma,AU,55.17,overcast clouds,-36.2333,149.1333,High Country Motel
528,Sao Gabriel Da Cachoeira,BR,78.4,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
529,Portland,US,59.59,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
531,Banda Aceh,ID,77.68,overcast clouds,5.5577,95.3222,Sulthan Hotel International
534,Lufkin,US,71.71,clear sky,31.3382,-94.7291,Courtyard by Marriott Lufkin
536,Mizan Teferi,ET,66.4,broken clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
539,Harrismith,ZA,58.87,scattered clouds,-28.2728,29.1295,Sir Harry's Estate
544,Ploemeur,FR,41.83,clear sky,47.7333,-3.4333,Best Western Plus Hotel Les Rives Du Ter
549,Vanimo,PG,79.63,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
550,Clarence Town,AU,77.61,scattered clouds,-32.5833,151.7833,River Downs Cottage
551,Sao Felix Do Xingu,BR,73.69,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
552,San Javier,ES,51.93,broken clouds,37.8063,-0.8374,Hotel Mar Menor
554,Grand Island,US,61.3,overcast clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
555,Faya,SA,52.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
557,Baghmara,IN,61.09,clear sky,23.795,86.2085,Shankar tea shop
558,Altagracia De Orituco,VE,74.41,few clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
559,La Grande,US,65.57,scattered clouds,45.3246,-118.0877,Travelodge by Wyndham La Grande
563,Port Lincoln,AU,64.74,clear sky,-34.7333,135.8667,Port Lincoln Hotel
564,Kutum,SD,54.05,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
